usa_or_hhsregion,variant,Date,share,share_hi,share_lo,time_interval,modeltype,nchs_or_count_flag,region
1,B.1.628,2021-02-13,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.617.3,2021-02-27,0.0,,,biweekly,weighted,1.0,region_01
1,P.2,2021-02-27,0.0091799799766805,0.022960952379637245,0.003639704340861866,biweekly,weighted,0.0,region_01
1,B.1.2,2021-02-27,0.2508969455957412,0.3636342734098434,0.16409384272992608,biweekly,weighted,0.0,region_01
1,B.1.526.1,2021-02-27,0.02059371117502445,0.03533272507290042,0.011931618986030382,biweekly,weighted,0.0,region_01
1,B.1.526.2,2021-02-27,0.0361766417821248,0.05261196816960967,0.02475534224261833,biweekly,weighted,0.0,region_01
1,P.1,2021-02-27,0.0006966926851488384,0.004110045928078162,0.00011775471144708462,biweekly,weighted,1.0,region_01
1,B.1.617.2,2021-02-27,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.1.519,2021-02-27,0.021850302608476698,0.03476376500394604,0.013677235071857733,biweekly,weighted,0.0,region_01
1,B.1.526,2021-02-27,0.07532146045317249,0.1643549414972464,0.0358230906228224,biweekly,weighted,0.0,region_01
1,B.1.1.7,2021-02-27,0.11425857556362944,0.17642481252551076,0.07212814378241693,biweekly,weighted,0.0,region_01
1,Other,2021-02-27,0.4870468849937121,0.5337268337607384,0.43261753022670746,biweekly,weighted,0.0,region_01
1,AY.3,2021-02-27,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.1,2021-02-27,0.006717262789607,0.015227380208671,0.0029489474836736,biweekly,weighted,0.0,region_01
1,B.1,2021-02-27,0.039949679188430245,0.06071661189198489,0.02617173567414279,biweekly,weighted,0.0,region_01
1,B.1.596,2021-02-27,0.04268170893192285,0.07230590283870694,0.02487812563776965,biweekly,weighted,0.0,region_01
1,A.2.5,2021-02-27,0.001256673480384,0.006696545984596,0.0002347827685298,biweekly,weighted,1.0,region_01
1,B.1.617,2021-02-27,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.628,2021-02-27,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.351,2021-02-27,0.006246237317100125,0.018071400001645036,0.0021525761985685126,biweekly,weighted,0.0,region_01
1,AY.1,2021-02-27,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.617.1,2021-02-27,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.427,2021-02-27,0.01150969190833464,0.017855961496631257,0.007428495756660859,biweekly,weighted,0.0,region_01
1,B.1.621.1,2021-02-27,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.429,2021-02-27,0.030990719019124868,0.045924952253699275,0.02081405185163016,biweekly,weighted,0.0,region_01
1,B.1.621,2021-02-27,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.626,2021-02-27,0.0,,,biweekly,weighted,1.0,region_01
1,AY.2,2021-02-27,0.0,,,biweekly,weighted,1.0,region_01
1,B.1.525,2021-02-27,0.007390244204240492,0.08274397936960058,0.0006141693205184,biweekly,weighted,0.0,region_01
1,B.1.626,2021-03-06,0.0,,,weekly,weighted,1.0,region_01
1,B.1.628,2021-03-06,0.0,,,weekly,weighted,1.0,region_01
1,B.1.351,2021-03-06,0.00112705989740784,0.01405671145766968,0.00014370216304082,weekly,weighted,1.0,region_01
1,B.1.617.2,2021-03-06,0.00028740553534585,0.0113364830613136,2.88474457192e-05,weekly,weighted,1.0,region_01
1,B.1.621,2021-03-06,0.0,,,weekly,weighted,1.0,region_01
1,B.1.429,2021-03-06,0.0560397692024707,0.0941631123423576,0.0327924713492393,weekly,weighted,0.0,region_01
1,AY.3,2021-03-06,0.0,,,weekly,weighted,1.0,region_01
1,Other,2021-03-06,0.6860654950141907,0.8024266839027405,0.5447747886180878,weekly,weighted,0.0,region_01
1,B.1.621.1,2021-03-06,0.0,,,weekly,weighted,1.0,region_01
1,B.1.1.7,2021-03-06,0.17092376947402949,0.2385840237140655,0.11949619650840755,weekly,weighted,0.0,region_01
1,P.1,2021-03-06,0.00424047587439414,0.01821090281009668,0.00097678055753926,weekly,weighted,1.0,region_01
1,A.2.5,2021-03-06,0.0,,,weekly,weighted,1.0,region_01
1,B.1.427,2021-03-06,0.020585173740983,0.0534496344625949,0.007762299850583,weekly,weighted,0.0,region_01
1,B.1.525,2021-03-06,0.010918305721133899,0.025279426481574725,0.004678947618231125,weekly,weighted,0.0,region_01
1,B.1.526,2021-03-06,0.14113309606909746,0.29371095448732376,0.06148737948387855,weekly,weighted,0.0,region_01
1,B.1.617.1,2021-03-06,0.0,,,weekly,weighted,1.0,region_01
1,AY.1,2021-03-06,0.0,,,weekly,weighted,1.0,region_01
1,AY.2,2021-03-06,0.0,,,weekly,weighted,1.0,region_01
1,B.1.617.3,2021-03-06,0.0009368827256063334,0.017779991030693,4.857552388173333e-05,weekly,weighted,1.0,region_01
1,A.2.5,2021-03-13,0.0005055460205767,0.00321175181306895,7.939388888184999e-05,weekly,weighted,1.0,region_01
1,B.1.526,2021-03-13,0.18216785043478007,0.3145722486078739,0.097811073064804,weekly,weighted,0.0,region_01
1,Other,2021-03-13,0.5606455683708191,0.688003933429718,0.42850384712219236,weekly,weighted,0.0,region_01
1,B.1.617.3,2021-03-13,0.0,,,weekly,weighted,1.0,region_01
1,AY.3,2021-03-13,0.0,,,weekly,weighted,1.0,region_01
1,B.1.525,2021-03-13,0.008834064705297325,0.04192886594682928,0.0018127816147170501,weekly,weighted,0.0,region_01
1,B.1.429,2021-03-13,0.0393935516476631,0.0681902170181274,0.0224645137786865,weekly,weighted,0.0,region_01
1,AY.2,2021-03-13,0.0,,,weekly,weighted,1.0,region_01
1,P.1,2021-03-13,0.0156310329213738,0.07006209343671795,0.00333527536131438,weekly,weighted,0.0,region_01
1,B.1.621,2021-03-13,0.0,,,weekly,weighted,1.0,region_01
1,AY.1,2021-03-13,0.0,,,weekly,weighted,1.0,region_01
1,B.1.617.2,2021-03-13,0.00051750114653254,0.00328816524706778,8.125517779258001e-05,weekly,weighted,1.0,region_01
1,B.1.427,2021-03-13,0.0107915103435516,0.0155796678736805,0.007463757880032,weekly,weighted,0.0,region_01
1,B.1.351,2021-03-13,0.00676756221801036,0.037887144833803135,0.00117746323812748,weekly,weighted,1.0,region_01
