state,state_name,date,PRCP,SNOW,SNWD,TMAX,TMIN
AK,Alaska,2021-01-03,15.757037037037037,6.956228956228956,443.2307692307692,-120.40065146579805,-184.84364820846906
AK,Alaska,2021-01-10,41.185132275132275,9.730082417582418,479.49063706563703,-68.4062742360788,-132.6431983868466
AK,Alaska,2021-01-17,49.561608465608465,8.707666666666666,506.4912315270936,-47.916635745207174,-107.75725881261596
AK,Alaska,2021-01-24,45.775235997482696,10.574066293183941,529.8988910632746,-21.627442002442002,-88.48415750915751
AK,Alaska,2021-01-31,7.832687830687831,7.75492371705964,550.2062639821029,-115.57762515262515,-190.83861416361415
AK,Alaska,2021-02-07,11.258051378446115,16.581360544217688,576.9814603174603,-136.0618286931386,-217.6682032557432
AK,Alaska,2021-02-14,6.920264317180616,5.747252747252746,599.4570450097847,-104.35362417118746,-203.1492088607595
AK,Alaska,2021-02-21,27.83405190905191,17.502083333333335,622.7120181405896,-100.44437091130382,-183.1506846188955
AK,Alaska,2021-02-28,32.44042351453856,26.277518315018316,683.8702544031311,-83.48210494388839,-166.28642705489838
AK,Alaska,2021-03-07,19.82187432050446,11.104518950437319,760.7770408163265,-69.3932983417009,-173.8276738171307
AK,Alaska,2021-03-14,21.01156613756614,21.986467444120507,774.330040526849,-57.20761448349308,-174.0846112886049
AK,Alaska,2021-03-21,23.073274596182085,21.767785714285715,815.0951530612244,-66.92975432211101,-181.71772823779193
AK,Alaska,2021-03-28,22.375258799171842,14.397147571900046,818.3448834853091,-30.908412197686648,-132.0189725101397
AK,Alaska,2021-04-04,32.59135610766045,24.631845238095238,817.9536984126984,-20.629843241644483,-113.39387015675835
AK,Alaska,2021-04-11,20.303566229985442,9.084928340268146,838.8137931034482,-61.54851470368712,-180.451224063293
AK,Alaska,2021-04-18,17.263530020703936,1.5645604395604396,735.5538548752835,73.06298835323602,-37.70268317853457
AK,Alaska,2021-04-25,3.5071428571428576,0.0,519.8225615763547,108.75557780744698,-26.246291351431534
AK,Alaska,2021-05-02,19.179694323144105,1.1036414565826331,370.5195105820106,76.71639541892706,-28.514783001808315
AK,Alaska,2021-05-09,13.6078018707483,0.0,287.4498480243161,95.42049886621315,-3.5938019652305364
AK,Alaska,2021-05-16,20.182226399331665,0.004329004329004329,195.38095238095238,111.2935256121376,13.14206849932402
AK,Alaska,2021-05-23,19.391712650725523,0.19624819624819623,133.56539235412475,112.97048517520216,14.675846061695118
AK,Alaska,2021-05-30,23.54087643678161,1.1707142857142856,87.82444668008048,134.14632034632035,25.651664427526494
AK,Alaska,2021-06-06,40.48650793650794,0.0,54.686042692939246,141.36067708333331,42.127782738095235
AK,Alaska,2021-06-13,10.42430002043736,0.0,29.902463054187194,158.67432291666665,54.64171130952381
AK,Alaska,2021-06-20,21.04850280723643,0.0,10.653769841269842,188.9313825841863,75.97253374870198
AK,Alaska,2021-06-27,30.860760667903524,0.0,2.8720238095238093,182.9387479602433,89.98566236463434
AK,Alaska,2021-07-04,11.386114532019706,0.0,0.05024630541871921,183.40851079562262,82.23303016858917
AK,Alaska,2021-07-11,32.09690476190476,0.0,0.0,157.3428948161543,70.93921036769137
AK,Alaska,2021-07-18,14.308154506437768,0.0,0.0,199.27529949086554,89.6989817310572
AK,Alaska,2021-07-25,28.512626262626263,0.0,0.0,186.1790627362056,99.44182161753591
AK,Alaska,2021-08-01,19.515440115440114,0.0,0.0,181.49220162748645,93.94783001808318
AK,Alaska,2021-08-08,34.85202329858982,0.0,0.0,194.49428421210757,100.49167793300285
